dynamicColors	mergedColors
ARVCF	grey	grey
ASAH1	brown	brown
ASAP1	brown	brown
ASAP3	grey	grey
ASB1	blue	blue
ASB11	blue	blue
ASB12	grey	grey
ASB13	turquoise	turquoise
ASB14	yellow	green
ASB15	grey	grey
ASB16	purple	purple
ASB2	blue	blue
ASB4	green	green
ASB6	yellow	green
ASB7	yellow	green
ASB8	yellow	green
ASB9	grey	grey
ASCC1	brown	brown
ASCC2	blue	blue
ASCC3	tan	brown
ASCL2	grey	grey
ASF1A	tan	brown
ASF1B	blue	blue
ASH1L	purple	purple
ASH2L	turquoise	turquoise
ASL	turquoise	turquoise
ASNA1	blue	blue
ASNS	brown	brown
ASNSD1	black	black
ASPH	tan	brown
ASPHD2	yellow	green
ASPM	green	green
ASPN	grey	grey
ASPRV1	turquoise	turquoise
ASPSCR1	turquoise	turquoise
ASRGL1	blue	blue
ASS1	grey	grey
ASTE1	black	black
ASTL	greenyellow	greenyellow
ASTN2	purple	purple
ASUN	red	blue
ASXL1	green	green
ASXL2	brown	brown
ATAD1	black	black
ATAD2	black	black
ATAD2B	purple	purple
ATAD3A	pink	pink
ATAD3B	red	blue
ATAD3C	blue	blue
ATAD5	black	black
ATAT1	blue	blue
ATCAY	purple	purple
ATE1	brown	brown
ATF1	turquoise	turquoise
ATF2	magenta	magenta
ATF3	greenyellow	greenyellow
ATF4	yellow	green
ATF5	green	green
ATF6	tan	brown
ATF6B	turquoise	turquoise
ATF7	turquoise	turquoise
ATF7IP	tan	brown
ATF7IP2	turquoise	turquoise
ATG10	brown	brown
ATG12	tan	brown
ATG13	yellow	green
ATG14	black	black
ATG16L1	yellow	green
ATG16L2	turquoise	turquoise
ATG2A	green	green
ATG2B	magenta	magenta
ATG3	black	black
ATG4A	turquoise	turquoise
ATG4B	blue	blue
ATG4C	brown	brown
ATG4D	pink	pink
ATG5	midnightblue	black
ATG7	turquoise	turquoise
ATG9A	yellow	green
ATG9B	turquoise	turquoise
ATHL1	turquoise	turquoise
ATIC	turquoise	turquoise
ATL1	grey	grey
ATL2	black	black
ATL3	blue	blue
ATM	tan	brown
ATMIN	pink	pink
ATN1	purple	purple
ATOX1	turquoise	turquoise
ATP10A	turquoise	turquoise
ATP10D	grey	grey
ATP11A	salmon	purple
ATP11B	green	green
ATP11C	brown	brown
ATP13A1	salmon	purple
ATP13A2	pink	pink
ATP13A3	magenta	magenta
ATP13A4	brown	brown
ATP1A1	blue	blue
ATP1A2	purple	purple
ATP1A3	blue	blue
ATP1B1	green	green
ATP1B2	greenyellow	greenyellow
ATP1B3	midnightblue	black
ATP1B4	green	green
ATP2A2	green	green
ATP2A3	pink	pink
ATP2B1	tan	brown
ATP2B4	brown	brown
ATP2C1	magenta	magenta
ATP2C2	turquoise	turquoise
ATP5A1	red	blue
ATP5B	red	blue
ATP5C1	blue	blue
ATP5D	blue	blue
ATP5E	turquoise	turquoise
ATP5EP2	brown	brown
ATP5F1	brown	brown
ATP5G1	turquoise	turquoise
ATP5G2	cyan	cyan
ATP5G3	blue	blue
ATP5H	brown	brown
ATP5I	blue	blue
ATP5J	brown	brown
ATP5J2	turquoise	turquoise
ATP5L	cyan	cyan
ATP5L2	blue	blue
ATP5O	red	blue
ATP5S	turquoise	turquoise
ATP5SL	red	blue
ATP6AP1	turquoise	turquoise
ATP6AP1L	black	black
ATP6AP2	midnightblue	black
ATP6V0A1	green	green
ATP6V0A2	yellow	green
ATP6V0B	red	blue
ATP6V0C	greenyellow	greenyellow
ATP6V0D1	red	blue
ATP6V0E1	turquoise	turquoise
ATP6V0E2	blue	blue
ATP6V1A	tan	brown
ATP6V1B1	grey	grey
ATP6V1B2	blue	blue
ATP6V1C1	brown	brown
ATP6V1C2	blue	blue
ATP6V1D	brown	brown
ATP6V1E1	yellow	green
ATP6V1E2	brown	brown
ATP6V1F	red	blue
ATP6V1G1	yellow	green
ATP6V1G2	cyan	cyan
ATP6V1H	black	black
ATP7A	green	green
ATP7B	brown	brown
ATP8A1	cyan	cyan
ATP8A2	turquoise	turquoise
ATP8B1	turquoise	turquoise
ATP8B2	turquoise	turquoise
ATP8B3	blue	blue
ATP9A	grey	grey
ATP9B	yellow	green
ATPAF1	pink	pink
ATPAF2	cyan	cyan
ATPIF1	turquoise	turquoise
ATR	magenta	magenta
ATRIP	pink	pink
ATRN	pink	pink
ATRX	tan	brown
ATXN1	purple	purple
ATXN10	brown	brown
ATXN1L	green	green
ATXN2	brown	brown
ATXN2L	pink	pink
ATXN3	yellow	green
ATXN7	green	green
ATXN7L1	turquoise	turquoise
ATXN7L2	cyan	cyan
ATXN7L3	greenyellow	greenyellow
ATXN7L3B	blue	blue
AUH	brown	brown
AUP1	red	blue
AURKA	grey	grey
AURKAIP1	blue	blue
AURKAPS1	green	green
AURKB	blue	blue
AURKC	turquoise	turquoise
AUTS2	grey	grey
AVEN	yellow	green
AVIL	grey	grey
AVL9	turquoise	turquoise
AVPI1	greenyellow	greenyellow
AVPR2	grey	grey
AXDND1	grey	grey
AXIN1	turquoise	turquoise
AXIN2	grey	grey
AXL	greenyellow	greenyellow
AZI2	midnightblue	black
AZIN1	midnightblue	black
B2M	turquoise	turquoise
B3GALNT1	grey	grey
B3GALNT2	brown	brown
B3GALT2	purple	purple
B3GALT4	red	blue
B3GALT6	turquoise	turquoise
B3GALTL	grey	grey
B3GAT3	pink	pink
B3GNT2	green	green
B3GNT4	grey	grey
B3GNT5	magenta	magenta
B3GNT6	yellow	green
B3GNT7	pink	pink
B3GNT8	grey	grey
B3GNT9	pink	pink
B3GNTL1	turquoise	turquoise
B4GALNT3	grey	grey
B4GALT1	green	green
B4GALT2	grey	grey
B4GALT3	red	blue
B4GALT4	green	green
B4GALT5	pink	pink
B4GALT7	blue	blue
B9D1	grey	grey
B9D2	yellow	green
BABAM1	turquoise	turquoise
BACE1	brown	brown
BACE1-AS	purple	purple
BACH1	green	green
BACH2	green	green
BAD	red	blue
BAG1	red	blue
BAG2	midnightblue	black
BAG3	yellow	green
BAG4	green	green
BAG5	black	black
BAG6	pink	pink
BAHD1	blue	blue
BAI1	grey	grey
BAI2	blue	blue
BAIAP2	turquoise	turquoise
BAIAP2L1	turquoise	turquoise
BAIAP2L2	blue	blue
BAIAP3	blue	blue
BAK1	yellow	green
BAMBI	pink	pink
BANF1	turquoise	turquoise
BANK1	grey	grey
BANP	blue	blue
BAP1	purple	purple
BARD1	tan	brown
BATF	red	blue
BATF3	grey	grey
BAX	pink	pink
BAZ1A	magenta	magenta
BAZ1B	blue	blue
BAZ2A	green	green
BAZ2B	magenta	magenta
BBC3	yellow	green
BBIP1	tan	brown
BBS1	turquoise	turquoise
BBS10	green	green
BBS12	grey	grey
BBS2	brown	brown
BBS4	turquoise	turquoise
BBS5	purple	purple
BBS7	magenta	magenta
BBS9	brown	brown
BBX	green	green
BCAP29	brown	brown
BCAP31	turquoise	turquoise
BCAR3	blue	blue
BCAS1	black	black
BCAS2	black	black
BCAS3	turquoise	turquoise
BCAS4	turquoise	turquoise
BCAT1	turquoise	turquoise
BCAT2	turquoise	turquoise
BCCIP	midnightblue	black
BCDIN3D	grey	grey
BCKDHA	turquoise	turquoise
BCKDHB	turquoise	turquoise
BCKDK	turquoise	turquoise
BCL10	black	black
BCL11B	blue	blue
BCL2	turquoise	turquoise
BCL2A1	green	green
BCL2L1	turquoise	turquoise
