greenyellow black magenta green purple cyan brown pink blue turquoise grey
ABHD10 0.831381427275861 4.53663043792746e-06 0.268439231525745 0.0196603620358992 0.511102864394222 0.284861131868068 0.175154125330859 0.139209468910605 0.536507884825027 0.0443622028123333 0.0108532757268317
ABHD11 0.33540301681969 0.519153083579059 0.756184460466772 0.107293851486734 0.0425974888617441 0.0507460544212624 0.261898779089191 0.146838523499452 0.000254481219646187 0.00983310176207044 0.855199101704788
ABHD12 0.0828130777706909 0.046805789051022 0.148576753926583 0.00011778701707266 0.00348482237912798 0.00805416268646738 0.852182450625091 0.00025577005134454 1.03693746262614e-06 0.0193132810221464 0.349292883213955
ABHD13 0.539541575964313 6.03042579453711e-07 0.0603952842718979 0.0154899845323474 0.536352303493517 0.701575677663778 0.0248068942563368 0.00599216453804685 0.34880900182654 0.000272922240568263 0.793141260716378
ABHD14A 0.241577575926773 0.00466438377010004 0.29534025277787 0.645287778243272 0.00740818684876525 0.163409850222678 0.000122860737287873 3.94769354587413e-05 3.95567773149619e-06 4.62798496141663e-16 0.779177966145791
ABHD14B 0.0926857956976258 0.159350620513425 0.514779553068809 0.40965502515778 0.00237900638856246 0.0156275790381705 0.00952109324732481 0.00109866857239892 1.62114598217797e-08 3.04003893159928e-09 0.646562444509008
ABHD15 0.534364176970055 0.0151434865724278 0.881038854215022 0.134251743426613 0.15313955732382 0.303034841833329 0.00159424446150207 0.0104202516497323 0.220107947064341 0.000214829402134044 0.814795755365519
ABHD16A 0.810988178779136 0.758951420165406 0.728258329387664 0.00895584224365206 0.000573920660255641 0.0059795968704757 0.283222312095612 0.0130977923931991 7.48414114715853e-08 0.000323342770460466 0.0383109573153896
ABHD16B 0.135500399728976 0.059794516207884 0.971277072412398 0.83547254344995 0.0322250281131333 0.781573891089596 0.10293033785451 0.00236820236714811 0.0320104740626452 0.000792208537036884 0.920172059079056
ABHD2 0.340283974076116 0.412140912315321 0.0857625006725593 0.0450762044972779 5.20647398091898e-05 0.239033487619785 0.00260913893520212 0.0295439744914315 3.52544689601299e-08 3.2348080522132e-06 0.726560519063678
ABHD3 0.000885643555561025 0.198467992655117 0.824332821913159 0.140182726618321 0.0713506167483176 0.518949715892397 5.99415383762508e-08 0.841389063952082 0.0281249567295873 3.94883848759539e-06 0.0543812470022445
ABHD4 0.784838954477617 0.396372552454046 0.786401982258345 0.0509485370276767 0.000460149052213615 0.0234562316938816 0.280710931330306 0.00126839295283554 3.84366380581466e-07 2.34750143404148e-05 0.0809733822129175
ABHD5 0.203502669980238 2.01752394987939e-06 3.98586661366189e-05 0.00107698659699354 0.0366905444910531 0.468125747961336 0.803657900343344 0.644035251077845 0.362516861101153 0.309041108804355 0.880344774943943
ABHD6 0.360322097991344 0.0860536960613082 0.98508030914695 0.822341334093626 0.0721300252433797 0.422880716284379 0.554883489027152 0.00237463241176329 0.224339670885472 0.0472939952615335 0.0628000449568631
ABHD8 0.53812819557354 0.557870624895065 0.829489020353357 0.0849762571485332 0.0071492492470639 0.1069786346663 0.666312700784391 0.00366831812444694 0.000446349289297358 0.00447976764444483 0.671555900768944
ABI1 0.00156274455901279 4.43308066862003e-11 8.68869644571391e-05 4.2478966922362e-10 0.0550056036679527 0.274185666570035 0.00302365408959242 0.626932696701574 0.193828421475131 0.0128302765157943 0.489369755219378
ABI2 0.000570906600585988 0.0651476758084318 0.869035971242225 0.0637880436241386 0.139467281991387 0.801055961903363 1.19921925663343e-08 0.456980957087046 0.0226136621887601 9.12810903559942e-08 0.122649980738912
ABI3 0.125936052397988 0.0482017371700993 0.451327188259307 0.32317274203141 0.143979076585322 0.949913205477605 0.00032141613882369 0.155279306739796 0.0098000628031233 7.61095707124539e-06 0.269872998285007
ABI3BP 0.150940893505956 0.0898644291808421 0.126196724202392 0.0883649810937891 0.399374608421152 0.82943050589537 0.135763248314646 0.708942368198024 0.736775957931148 0.12818601720779 0.0663602575739171
ABL1 0.225222987267909 0.886953963342184 0.0327883221906432 0.0304831582525773 4.44569401764147e-06 0.675473109027882 0.277021304158445 0.0041794470188541 0.000673493083595393 0.00240208334273731 0.0484292420795743
ABL2 0.703653586075018 0.273060451493737 0.00926532569333681 0.443535074163578 0.0367929024829991 0.267114466048819 0.0660028605712131 0.444680449502354 0.409137615873103 0.248744453721415 0.0584180259213387
