greenyellow black magenta green purple cyan brown pink blue turquoise grey
ABHD14B -0.26945406602634 -0.226787255660287 -0.10606982180957 0.13402529629815 0.467056121920547 0.379836637878345 0.405056857265812 0.497208101490745 0.756653791599061 0.779744873498625 0.0747713586453744
ABHD15 -0.10120166107922 -0.381495072684889 -0.0244333951556721 -0.240918706876631 0.230123177460448 -0.166997308299335 0.48301819591541 0.400601185903175 0.198240710182274 0.553036083510016 0.0382361267381298
ABHD16A -0.0390366098944097 0.0500759785506107 0.0566890028169425 0.408045880159926 0.520584997044074 0.427140639546558 0.173890654145837 0.389040733942637 0.733071793161514 0.539930194385419 0.328792488026982
ABHD16B 0.240171560305718 -0.300231964351402 0.00587954592463894 0.0339040402807281 0.339261529529739 0.0452525123374453 0.261636335273349 0.467241975328722 0.339659310654613 0.509189226074078 -0.0163635406832748
ABHD2 -0.15477477580076 0.133321489230316 0.27512287269825 0.31864255457865 0.594634239640683 0.190494125875991 0.463263494539496 0.344397457678561 0.744995440527106 0.662344106119123 0.0570573359185073
ABHD3 -0.505153456846195 -0.207683423768469 0.0362349363751319 -0.237414451338752 0.288172646990613 -0.105025692007885 0.736654989737578 -0.0326687796585886 0.347273325313049 0.657992024560888 0.306530138439175
ABHD4 -0.0445595704195883 -0.137827988670365 -0.0442281239329465 0.310788993593707 0.52817193190324 0.357671458434817 0.174786476139427 0.491804603788613 0.704799110753562 0.61572877971378 0.27925544712419
ABHD5 0.205424816247628 0.672372046473917 0.601877249828946 0.497950930534002 0.331438720630203 -0.118058184532892 -0.0405802460474471 -0.0753439280318785 0.147870573533043 -0.164964874241652 0.0245769870192899
ABHD6 0.148540508509416 -0.274877434192323 -0.00305357880262176 0.0366523745327245 0.28741641429301 -0.130308175208813 0.0961929992516369 0.46713127464181 0.196470164781094 0.315584566196157 0.296929127304068
ABHD8 0.100276079083733 -0.095471220003481 0.0351551893188709 0.275788814665312 0.418827777824208 0.258710803560664 0.0703264569314339 0.44888735621737 0.52920372005666 0.44016139841752 0.0691549726134154
ABI1 0.483794377343961 0.827822246297755 0.580243830959307 0.803772715547007 0.305778818794859 0.177138789242197 -0.457117253321742 0.0792427785838779 0.209800664531488 -0.390100183078098 -0.112526224540382
ABI2 -0.52076788952874 -0.294435471658035 -0.0269192167315929 -0.295870819354523 0.237831276132649 -0.0411290041865285 0.761010496956735 0.121013511735287 0.359728731602116 0.729817961118251 0.24812080273228
ABI3 -0.24603100211213 -0.314366260721741 -0.122527586236799 -0.160279572427339 0.235228541921997 -0.0102570467275 0.540125692395201 0.228962987427276 0.403637297149459 0.643164048257181 0.178713681988995
ABI3BP 0.231327705921558 0.271723323791614 0.245866980429872 0.272951818109011 0.13696217388221 -0.0351674343204503 -0.240014933172131 -0.0608964581746513 -0.0548452819144751 -0.244623528364108 0.293175232510732
ABL1 0.196103485871477 -0.0232103959617368 0.338227455749058 0.342556167232445 0.65537250234028 0.0682819919634201 0.176112113057659 0.443217004308586 0.514978516171705 0.46666161643924 0.314063822549266
ABL2 0.062055185269017 0.17754811528222 0.406389978424812 0.124631304491211 0.33126876762753 -0.179729741414322 0.293544769689789 0.124320816678235 0.134172091825895 0.186680197112206 0.301788888559899
ABLIM1 -0.22378560216823 -0.00364216500370995 0.123375441161143 0.157746254754649 0.466997501410421 0.194862654451869 0.545845681244849 0.412800181074096 0.726927341674103 0.748363023814303 -0.138145567887251
ABLIM2 0.135883214867325 -0.161136022355993 0.076081316859845 0.17975172697645 0.464252349266292 0.0465703990678919 0.170541545821118 0.367025767426834 0.400411358904968 0.435735049903487 0.373032468689213
ABR 0.242297951402181 0.017677911456713 0.321864652083324 0.413646108611279 0.722006459355221 0.0480958290913603 0.32174743187639 0.61965926945179 0.72025997818903 0.669161995260754 0.254206155109306
ABRA 0.0261951080574582 -0.0313556820354092 0.276128910107995 0.0874959736656667 0.395527378633767 -0.190581767526405 0.30668860707043 0.227954514714012 0.253530885709791 0.34566719803338 0.186056465994968
ABT1 0.472184973337628 0.482704857197363 0.395427842079794 0.833797878702497 0.632342298901589 0.410754010458519 -0.243417541850371 0.548957145856233 0.691949760123323 0.185219059798918 -0.00886779927633364
ABTB1 -0.0453915954355648 -0.217268200490682 0.0387907945550722 0.154645194209847 0.563805251250861 0.230031034432023 0.528709626354222 0.699179501132444 0.789958902565182 0.893725665372499 -0.0200813664685205
ABTB2 0.143861859574827 0.376459780883935 0.120370596608696 0.252619360833927 -0.077177583174425 0.140000849560582 -0.256309822230706 -0.0592219409124446 -0.026935916339016 -0.30438381446755 -0.222557527518026
ACAA1 0.0878811771781624 -0.0611045011444903 0.10988527192606 0.408661397788069 0.66684463747449 0.32388681506768 0.307642716455084 0.701520636178647 0.877567633873639 0.783657844935047 0.146425351772693
ACAA2 -0.201716243289096 -0.184126595921335 0.010093342964792 -0.128239200798828 0.242443125645805 -0.140188023823985 0.566651969035239 0.207475751625968 0.364580246500654 0.619892184789774 -0.0120903204345197
ACACA 0.459865540305933 0.192984030359797 0.480069234506543 0.593038681664242 0.715733156269367 0.0365781585790808 -0.101513542871443 0.541424486314796 0.439852393885724 0.202009787228072 0.423612859741214
ACACB -0.0711650646877909 -0.183575693068986 0.293212354180505 0.0660089155850057 0.59404471814824 -0.131519018222222 0.387765460205165 0.273427716366302 0.351555024469288 0.515734576084779 0.371915536049027
ACAD10 -0.205023895799324 -0.340923541433025 0.101980272007531 -0.0769844195923288 0.541973134473638 -0.0763746691923921 0.647511912706072 0.448164820859797 0.544683759348098 0.831915327944714 0.183545300992828
ACAD11 0.0770533573198786 0.340021150304347 0.448353632803643 0.491256688583352 0.594472987586888 0.129663324163747 0.0960875701066735 0.253805616802195 0.503711027100358 0.25348345822168 0.130920206287363
ACAD8 -0.26664323405666 -0.0243451122324243 0.00274442996412657 0.196752309470872 0.401129763001118 0.357781783422637 0.35034682879559 0.306521605663272 0.685877674536521 0.601944792386378 -0.0258389494708528
ACAD9 -0.0624172953142073 -0.225530914821156 -0.121170314405244 0.0415449734105036 0.253905234556127 0.0425768507239126 0.224062618584707 0.373356461128958 0.408099247462339 0.453852310747266 0.0700081720475964
ACADM -0.546279862145621 -0.434530759526514 -0.235702750051105 -0.612781590078905 -0.100515817102453 -0.283404647804435 0.856056196296347 -0.0323794603489154 0.100564436955589 0.647962899497197 0.0239986108843242
ACADS -0.362531675156337 -0.356335409712767 -0.209821861504291 -0.0750455466652732 0.321486962228694 0.302350508089152 0.505087734702793 0.445161419886479 0.636703911180927 0.796309046229427 -0.0717758350136628
ACADSB -0.17830158408064 0.16753726679294 0.390032469368452 0.0235608767775955 0.384341714555202 -0.309729301694978 0.652278996165011 0.0277699903363019 0.341965821168182 0.506678849985391 0.154559505170805
ACADVL 0.0225880485919982 -0.104448228950164 0.105501660869384 0.385813512089394 0.69613724810035 0.363647159885809 0.250920331037079 0.567512007564487 0.821637674748294 0.723928776309274 0.215550999380953
ACAN 0.138731663434569 0.122736907596452 0.360357114640083 0.200405230259718 0.408696263588125 -0.120276587064281 0.209974684388493 0.275693748247702 0.241936247508217 0.237641497639567 0.109394749884555
ACAP1 -0.148751084497953 -0.195593128586173 -0.019333539136417 0.22108813429424 0.588701335052615 0.391308499744051 0.448933676702824 0.596987113838562 0.852597046816733 0.866849588123856 0.153597119272699
ACAP2 -0.417969519691198 -0.101348048999626 0.261209046013444 -0.341401823267319 0.194992457880446 -0.419645777613833 0.827577943981392 -0.0420574597560106 0.114216066706905 0.53228721513295 0.143086760304257
ACAP3 0.491812183667435 -0.155651486505024 0.130774716770504 0.48064320881733 0.608191165224918 0.273883172849928 -0.195973653339624 0.87249990227022 0.537805021990091 0.357851374724941 0.162807445777883
ACAT1 -0.597432859230439 -0.170421601400065 0.029497072128599 -0.294539658575604 0.19658346250546 -0.0940028216083714 0.866760367176778 0.0797921256908811 0.427055208883152 0.748466756729095 -0.0333561326127316
ACAT2 -0.0311653373156374 -0.0336884858334622 0.0802206937701667 0.137321264685256 0.414882185529232 0.036925890530846 0.468368414705837 0.436867014176902 0.595819688062177 0.661126277082408 -0.113943048082378
ACBD3 0.52287572595423 0.502594528111478 0.460918800949449 0.537972723954106 0.180997183751346 -0.012746869433982 -0.509377654017624 0.0375963303334262 -0.088345326893449 -0.464226677515438 0.0681291492114504
ACBD4 -0.264290846319767 -0.207420803555214 0.0158661925019062 0.156904989864957 0.596492220919236 0.35797135546106 0.510069626913591 0.522047111406826 0.80310002278781 0.855849892409838 0.19153397638195
ACBD5 0.704373704825615 0.597136336003578 0.527430871718383 0.741309519810767 0.398332080434781 0.00329684935217278 -0.40340066892774 0.293320030330221 0.224595543388426 -0.233911649024241 -0.0163599069165418
ACBD7 0.235005973494234 0.329619425699449 0.372662810079824 0.415742568454574 0.380845938772375 -0.108117797628438 -0.0741384614371298 0.21306233386069 0.265594886503824 0.0384077858733001 -0.0355404778322385
ACCS 0.296096229527313 0.101176162731021 0.108073897095988 0.295278474205773 0.323032658759057 -0.0309521308109111 -0.0474463339768915 0.196839320604756 0.266224382158989 0.148994191973014 0.0243013714405763
ACD -0.410228753418363 -0.42319416090073 -0.169848812895798 -0.197071678505791 0.322878126595575 0.0644874336838776 0.664149067202317 0.350393228689504 0.551691020474109 0.847376969541564 0.238381679880889
ACE 0.208465903548167 -0.0936168727726102 0.278216814274858 0.199452932951942 0.557412883583904 -0.136154896271444 0.22776906570897 0.348991037516292 0.341679780286372 0.425972888787069 0.425821464537704
ACER1 0.095419076634983 -0.160523521815077 -0.102122542525575 0.0987351935428153 0.197390123427889 0.0865644988397452 0.0707908193854835 0.346899648015193 0.313488414363968 0.323094106592047 0.0274196184678685
